"id","title","description","availability","condition","price","link","image_link","brand","quantity_to_sell_on_facebook","google_product_category"
"a9115c6c-a257-4e0c-bf61-4bc78d1ac52e","Abridor de celulares AIDA a998b","Abridor de celulares AIDA a998b - Insumo de alta calidad.","in stock","new","114700.00 ARS","https://arecofix.com.ar/productos/abridor-de-celulares-aida-a998b","https://jftiyfnnaogmgvksgkbn.supabase.co/storage/v1/object/public/products/abridor-de-celulares-aida-a998b.webp","Arecofix","1",""
"f3235755-90e7-464b-97ea-36a92ecf314c","Bateria de Iphone 14 Pro CALIDAD ORIGINAL","Bateria de Iphone 14 Pro CALIDAD ORIGINAL - Bateria de alta calidad.","in stock","new","45000.00 ARS","https://arecofix.com.ar/productos/bateria-de-iphone-14-pro-calidad-original","https://jftiyfnnaogmgvksgkbn.supabase.co/storage/v1/object/public/public-assets/products/1772824944047-25tzxx6.webp","Arecofix","1",""
"c76c73d7-9590-4a1d-88bd-555b5b07db9d","Modulo de Samsung Galaxy A13 (4G) OLED","Modulo de Samsung Galaxy A13 (4G) OLED - Modulo de alta calidad.","out of stock","new","19600.00 ARS","https://arecofix.com.ar/productos/modulo-de-samsung-galaxy-a13-4g-oled","https://jftiyfnnaogmgvksgkbn.supabase.co/storage/v1/object/public/products/a13.webp","Arecofix","",""
"53ee4a0a-c900-4159-a4e2-0f70b7b2fed3","Modulo de Iphone 13 OLED","Modulo de Iphone 13 OLED - Modulo de alta calidad.","in stock","new","77000.00 ARS","https://arecofix.com.ar/productos/modulo-de-iphone-13-oled","https://jftiyfnnaogmgvksgkbn.supabase.co/storage/v1/object/public/public-assets/products/1765420764963-1000060942.jpg","Arecofix","1",""
"0242350f-ebde-48c7-877b-c52d66f13195","iPhone 15 Pro 256 GB","En venta iPhone 15 Pro  256 GB de Almacenamiento interno IOS 26  Excelente estado impecable ","in stock","new","640.00 USD","https://arecofix.com.ar/productos/iphone-15-pro-256-gb","https://jftiyfnnaogmgvksgkbn.supabase.co/storage/v1/object/public/public-assets/products/1774829470903-yr6zbyu.jpg","Apple","1",""
"65da3b8e-2f4b-4702-90bf-1bdaa3fb9940","Placa de Carga de Samsung Galaxy A13","Placa de Carga de Samsung Galaxy A13 - Placa de Carga de alta calidad.","out of stock","new","8100.00 ARS","https://arecofix.com.ar/productos/placa-de-carga-de-samsung-galaxy-a13","https://jftiyfnnaogmgvksgkbn.supabase.co/storage/v1/object/public/products/a13.webp","Arecofix","",""
"08ac577d-e92d-4afa-88f7-007fd26be9f3","Placa de Carga de Motorola E22 / E32","Placa de Carga de Motorola E22 / E32 - Placa de Carga de alta calidad.","out of stock","new","8100.00 ARS","https://arecofix.com.ar/productos/placa-de-carga-de-motorola-e22-e32","https://jftiyfnnaogmgvksgkbn.supabase.co/storage/v1/object/public/products/e22.webp","Arecofix","",""
"6fb552c9-a2dc-454a-befe-41b7795141a7","Samsung Galaxy A07 128GB","Precio en USD","in stock","new","165.00 ARS","https://arecofix.com.ar/productos/samsung-galaxy-a07-128gb","","Brnd-0001-4000-8000-abcdef123456","10",""
"3efc1cd0-bf05-4d24-8191-fe3a08715c74","Samsung Galaxy A07 128GB c/cargador","Precio en USD. Incluye cargador.","in stock","new","171.00 ARS","https://arecofix.com.ar/productos/samsung-galaxy-a07-128gb-cargador","","Brnd-0001-4000-8000-abcdef123456","10",""
"fbca2479-fad4-4ec7-b381-9f6617cce7c4","Samsung Galaxy A26 8/256GB 5G","Precio en USD","in stock","new","326.00 ARS","https://arecofix.com.ar/productos/samsung-galaxy-a26-256gb-5g","","Brnd-0001-4000-8000-abcdef123456","10",""
"1d20ebe3-ca28-4ed4-8252-e2caae089485","Samsung Galaxy A35 6/128GB 5G","Precio en USD","in stock","new","351.00 ARS","https://arecofix.com.ar/productos/samsung-galaxy-a35-6-128gb-5g","","Brnd-0001-4000-8000-abcdef123456","10",""
"5c5220e3-5213-4cb1-b515-86dca2097486","Samsung Galaxy A35 8/128GB 5G","Precio en USD","in stock","new","356.00 ARS","https://arecofix.com.ar/productos/samsung-galaxy-a35-8-128gb-5g","","Brnd-0001-4000-8000-abcdef123456","10",""
"212445fe-9c88-45e9-ac52-065dfb2b84a8","Samsung Galaxy A36 8/256GB 5G","Precio en USD","in stock","new","380.00 ARS","https://arecofix.com.ar/productos/samsung-galaxy-a36-256gb-5g","","Brnd-0001-4000-8000-abcdef123456","10",""
"807798f3-025a-40c0-afe0-4d5b13e11b4c","Samsung Galaxy S25 FE 8/256 5G","Precio en USD","in stock","new","711.00 ARS","https://arecofix.com.ar/productos/samsung-galaxy-s25-fe-256gb","","Brnd-0001-4000-8000-abcdef123456","10",""
